Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min
2015,1,MACON LOCHE,PARIS LYON,98.8315508021,187,0,43,20.5813953488,5.99465240641999,17,40.0588235294,3.93048128341999,0.266666666667,0.133333333333,0.333333333333,0.133333333333,0.0666666666666999,0.0666666666666999,13,8,4
2015,1,PARIS EST,METZ,85.4155844156,231,0,8,14.75,0.701298701299,24,15.2916666667,2.00432900433,0.047619047619,0.52380952381,0.142857142857,0,0.142857142857,0.142857142857,10,3,0
2015,1,BORDEAUX ST JEAN,PARIS MONTPARNASSE,210.638461538,653,3,62,25.0161290323,2.96923076922999,63,60.3968253968,5.68307692308,0.368421052632,0.175438596491,0.210526315789,0.105263157895,0.0701754385965,0.0701754385965,63,42,22
2015,1,VALENCE ALIXAN TGV,PARIS LYON,131.973469387999,246,1,30,19.6333333332999,3.27346938775999,29,28.2413793103,1.96326530612,0.357142857143,0.214285714286,0.107142857143,0.178571428570999,0,0.142857142857,23,8,2
2015,1,PARIS MONTPARNASSE,BREST,268.933333333,210,0,9,15.6666666667,0.828571428571,10,33.2,2.25238095238,0.3,0.2,0.1,0.3,0,0.1,10,4,1
2015,1,METZ,PARIS EST,85.5493273543,223,0,12,13.5,1.02242152466,23,13.6086956522,1.67264573990999,0,0.409090909091,0.363636363636,0.181818181818,0.0454545454545,0,6,1,1
2015,1,LILLE,MARSEILLE ST CHARLES,298.841836735,196,0,25,18.64,2.89795918367,39,43.4871794872,10.5510204082,0.333333333333,0.0833333333333,0.305555555556,0.138888888889,0.0555555555556,0.0833333333333,39,16,9
2015,1,LE MANS,PARIS MONTPARNASSE,59.7274881517,422,0,38,16.7894736842,2.08530805687,56,15.1607142857,1.93127962085,0.25,0.423076923077,0.0961538461538,0.0961538461538,0.0576923076923,0.0769230769231,16,4,2
2015,1,LYON PART DIEU,LILLE,187.564575645999,271,0,114,19.4736842105,9.30996309963,60,34.6,9.72693726937,0.333333333333,0.157894736842,0.105263157895,0.105263157895,0.140350877193,0.157894736842,58,22,7
2015,1,DUNKERQUE,PARIS NORD,124.904761905,252,0,5,18.2,0.40873015873,23,18.3913043478,1.53174603175,0.0454545454545,0.454545454544999,0.136363636363999,0.272727272727,0,0.0909090909091,11,2,0
